,unique_id,date_close,date_open,oplata
0,081101719,,,
1,081101724,,,
2,081109237,,,
3,081108534,,,
4,081102140,,,
5,081102990,,,
6,081107087,,,
7,081110837,,,
8,081108636,,,
9,081110868,,,
10,081102989,,,
11,081101745,,,
12,081108535,,,
13,081101723,,,
14,081101750,,,
15,081108417,,,450
16,081101725,,,450
17,081103323,,,
18,081106903,,,
19,081101715,,,
20,081106247,,,
21,081101718,,,
22,081104202,,,450
23,081105728,,,
24,081101798,,,
25,081109238,,,
26,081101747,,,
27,081106655,,,
28,081101722,,,
29,081101721,,,
30,081101726,,,
31,081106205,12-09-22,27-09-22,
32,081101731,,,
33,081105963,,,
34,081110583,,,
35,081106083,,,
36,081101716,,,
37,081104851,,,
38,081108397,,,450
39,081108407,,,450
40,081108696,,,
41,081109240,,,450
42,081101733,,,
43,081101732,,,
44,081101746,,,
45,081101847,,,
46,081102976,,,
47,081109241,,,450
48,081109242,,,
49,081101720,,,
50,081101796,,,
51,081101717,,,
52,090201548,,,450
53,090200742,,,
54,090203004,,,
55,090201073,,,
56,090200741,,,450
57,090203859,,,450
58,090201042,,,450
59,090203689,,,450
60,090201159,,,450
61,090203508,,,450
62,090200737,,,450
63,090201100,,,450
64,090203924,,,450
65,090200720,,,450
66,090201204,,,450
67,090202960,,,450
68,090200723,,,450
69,090203509,,,450
70,090200730,,,450
71,090203692,,,450
72,090202892,,,450
73,031007570,,,350
74,031007043,,,350
75,031006738,,,350
76,031004577,,,350
77,031005314,,,350
78,031006831,,,350
79,031005315,,,350
80,031007468,,,350
81,031007283,,,350
82,060505742,,,
83,060502509,,,
84,060505059,,,
85,060502451,,,
86,060504087,,,
87,060504995,,,
88,060505657,,,
89,060505352,,,350
90,060505286,,,350
91,060502385,,,
92,060504266,,,350
93,060503945,21-09-22,22-09-22,
94,060505064,,,
95,060503149,,,
96,060503782,14-09-22,20-09-22,
97,060503703,,,
98,060504267,,,350
99,020606844,,,
100,020606954,,,
101,020606926,,,
102,020606631,,,
103,020607229,,,
104,020604530,,,
105,020604218,,,
106,020606963,,,
107,020606964,,,
108,020601632,,,
109,020604217,,,
110,020606952,,,
111,020601610,,,
112,020601611,,,
113,020606965,,,
114,020606967,,,
115,020606966,,,
116,020604219,,,
117,020601716,,,
118,020606971,,,
119,020607088,,,
120,020604364,15-08-22,16-08-22,
121,020606955,,,
122,020606969,,,
123,020601605,,,
124,020606899,14-09-22,16-09-22,
125,020601638,,,
126,020606970,,,
127,020604261,,,
128,020606953,,,
129,020201695,,,
130,020201698,,,
131,020208025,,,
132,020203395,,,
133,020203057,,,
134,020202163,,,
135,020201831,,,
136,020208179,24-09-22,25-09-22,
137,020205738,,,
138,020205730,,,
139,020208892,,,
140,020203510,08-09-22,09-09-22,
141,020201674,,,
142,020205386,,,
143,020201702,,,
144,020208895,,,
145,020208894,,,
146,020203063,,,
147,020208083,,,
148,020208549,,,
149,020201700,,,
150,020208897,,,
151,020203299,,,
152,020205735,,,
153,020202018,,,
154,020208896,,,
155,020201697,,,
156,020203394,,,
157,020202162,,,
158,020201676,,,
159,020208547,,,
160,010107287,,,
161,010107423,20-09-22,30-09-22,
162,010107455,,,
163,010104926,,,
164,010106882,,,
165,010104828,,,350
166,010105370,04-09-22,05-09-22,
167,010107557,,,
168,010101102,,,350
169,010107418,,,
170,060206131,19-09-22,26-09-22,
171,060209525,,,
172,060209892,10-09-22,11-09-22,
173,060209963,,,
174,060203720,,,
175,060209893,,,
176,060210385,24-09-22,26-09-22,
177,060209964,,,
178,030207129,,,350
179,030203762,,,350
180,030203731,,,350
181,030240860,,,350
182,030240854,,,250
183,030205359,,,250
184,030205677,,,250
185,030205356,,,250
186,030203696,,,250
187,030240797,,,350
188,030240788,,,350
189,030240781,,,350
190,030240798,,,350
191,030207018,,,350
192,030241169,,,350
193,030206915,,,350
194,030241212,,,350
195,030205106,,,350
196,030206851,,,350
197,030203745,,,350
198,030211157,,,
199,020309245,,,
200,020309071,17-09-22,20-09-22,
201,020308918,,,
202,020309076,,,
203,020308589,,,
204,020309207,,,
205,020309249,,,
206,020308914,,,
207,020309248,,,
208,020306830,,,
209,020301990,,,
210,020302104,,,
211,020309275,,,
212,020309070,,,
213,020309232,,,
214,020302007,,,
215,020302006,,,
216,020309075,,,
217,020309072,,,
218,020305275,,,
219,020309074,,,
220,020309233,,,
221,020309478,,,
222,020309247,,,
223,091504594,,,450
224,091505490,,,450
225,091507927,23-09-22,27-09-22,450
226,091507839,,,450
227,091507634,,,450
228,091507809,26-09-22,27-09-22,450
229,091508217,,,450
230,091507864,,,450
231,091507707,,,450
232,091504587,,,450
233,091506827,,,450
234,091511054,,,450
235,091507489,,,450
236,091507494,,,450
237,091506829,,,450
238,091511053,,,450
239,091504475,,,450
240,091504356,,,450
241,091511109,,,450
242,091507422,,,450
243,091507671,,,450
244,010201263,,,
245,010201258,,,
246,010204991,,,
247,010201328,,,
248,010201274,,,
249,010203978,,,
250,010204733,,,
251,010205744,,,
252,010201277,,,
253,010204648,,,
254,091216413,04-08-22,06-08-22,
255,091218283,,,450
256,091213958,,,
257,091205922,,,
258,091217629,19-09-22,20-09-22,
259,091217010,,,
260,091217614,,,
261,091205925,,,
262,091217617,,,
263,091212326,,,
264,091205073,,,450
265,091208983,,,450
266,091218700,,,450
267,091216985,,,450
268,091217630,,,450
269,091212255,,,450
270,091203211,,,450
271,091203086,07-09-22,09-09-22,
272,091208634,,,
273,091217256,,,
274,091212946,,,
275,091211865,,,450
276,060300542,,,
277,060301603,,,
278,060301745,,,
279,060300553,,,
280,060300544,,,
281,030308194,,,
282,030303009,,,
283,030307941,,,
284,030303317,,,
285,030307929,,,
286,030342095,,,
287,030310601,,,
288,030307931,,,
289,030303878,,,
290,030309621,,,
291,030307890,,,
292,030341045,,,
293,030310171,,,
294,030342386,,,
295,030341047,,,
296,030303828,,,
297,010307752,,,
298,010307487,,,
299,010303676,28-07-22,29-07-22,
300,010300975,,,
301,010300930,,,
302,010305179,,,
303,010302364,,,
304,010306312,,,
305,010302370,13-08-22,15-08-22,
306,010307812,01-08-22,02-08-22,
307,010300976,19-08-22,20-08-22,
308,010307431,,,
309,010303677,,,
310,010300910,,,
311,010305790,,,
312,010300913,,,
313,010300915,,,
314,090400679,,,450
315,090400341,,,
316,090400489,,,
317,090400463,,,
318,060400589,,,
319,060400586,,,
320,060402214,,,
321,060402215,,,
322,060401431,,,
323,060402551,,,
324,080905690,,,450
325,080911420,,,450
326,080903282,,,450
327,080903798,,,450
328,080905563,,,350
329,080911785,,,350
330,080906393,,,450
331,080903209,04-09-22,05-09-22,450
332,080905785,,,450
333,080908416,,,450
334,080905328,,,450
335,040202050,,,
336,040205402,,,
337,040202044,30-08-22,05-09-22,
338,040202045,,,
339,040209389,,,
340,040209370,,,
341,040202432,,,
342,040208695,09-09-22,10-09-22,
343,040202039,17-09-22,18-09-22,
344,040210988,,,
345,040202030,,,
346,040210979,06-09-22,12-09-22,
347,040210981,,,
348,040210986,,,
349,040202185,,,
350,040209573,09-09-22,18-09-22,
351,040202046,,,
352,040202037,03-09-22,05-09-22,
353,040205401,,,
354,040209541,,,
355,040202032,,,
356,040211535,,,
357,040202041,,,
358,040204875,,,
359,040211644,,,
360,040211039,,,
361,040202038,,,
362,040209586,,,
363,040202035,17-09-22,19-09-22,
364,040204580,,,
365,040202431,11-09-22,12-09-22,
366,040210978,,,
367,040209732,,,
368,040202095,,,
369,040211054,,,
370,040211536,,,
371,040204096,,,
372,040202034,,,
373,040209376,11-09-22,12-09-22,
374,040209361,,,
375,040211044,,,
376,010405890,19-09-22,20-09-22,350
377,010405886,,,350
378,010401889,,,
379,010400520,05-09-22,03-10-22,
380,010400508,,,350
381,010400510,25-08-22,26-08-22,350
382,010400524,,,
383,010405883,,,350
384,010400525,,,350
385,010400511,,,350
386,010400526,,,
387,010405378,,,
388,010405377,,,
389,010400515,,,350
390,010401508,,,350
391,010404000,02-08-22,03-08-22,350
392,010400529,,,350
393,010405887,,,350
394,010405884,,,350
395,010405888,,,350
396,010405889,,,350
397,010405237,,,350
398,010405891,,,350
399,010405885,,,350
400,010400509,,,350
401,061502869,,,350
402,060600768,,,350
403,061502886,,,
404,061502868,,,
405,061503925,,,
406,060116142,,,350
407,061503968,,,350
408,060118321,16-08-22,18-08-22,350
409,060112625,03-09-22,04-09-22,350
410,060116714,,,350
